ID	MODEL	SEND	RECEIVE	LATENCY
12	mnist-8	17735549554371926	17735549566275862	5425
22	mnist-8	17735550055931854	17735550081098720	11470
7	squeezenet1.1-7	17735549411439622	17735549438952028	12539
8	resnet18-v2-7	17735549506053674	17735549575679546	31734
43	mnist-8	17735551331457234	17735551453236608	55505
26	mnist-8	17735550160707128	17735550285532196	56893
6	resnet50-v2-7	17735548827536808	17735548957213844	59105
46	mnist-8	17735551379920770	17735551522151152	64826
4	resnet18-v2-7	17735548275085308	17735548523388752	113173
0	resnet34-v2-7	17735548210682218	17735548472328838	119255
10	squeezenet1.1-7	17735549551981738	17735549833659416	128385
19	resnet18-v2-7	17735549902038186	17735550241083782	154533
16	squeezenet1.1-7	17735549679734874	17735550032997312	161012
9	resnet34-v2-7	17735549549874334	17735549977100404	194724
14	resnet34-v2-7	17735549663772032	17735550102271708	199863
3	resnet50-v2-7	17735548272826400	17735548716563774	202250
1	mobilenetv2-7	17735548212987662	17735548684515566	214917
15	resnet50-v2-7	17735549667723090	17735550158119140	223516
5	inception_v3	17735548282000884	17735548812951380	242001
2	resnet50-v2-7	17735548215236130	17735548767878778	251888
117	mnist-8	17735558907251348	17735559511063472	275210
37	mnist-8	17735550706204552	17735551490863890	357638
32	mnist-8	17735550431919754	17735551472414918	474245
24	squeezenet1.1-7	17735550099895726	17735551850435982	797876
21	resnet50-v2-7	17735550044099432	17735552259639314	1009817
20	googlenet-9	17735550017736964	17735552256557758	1020428
224	resnet18-v2-7	17735573189885558	17735575571735996	1085620
35	resnet18-v2-7	17735550670287228	17735553371396946	1231134
51	squeezenet1.1-7	17735551481735562	17735554690114860	1462342
23	resnet34-v2-7	17735550091052634	17735553629135510	1612617
62	mnist-8	17735553103917864	17735557331900978	1927066
27	mobilenetv2-7	17735550167154328	17735554648432158	2042514
52	resnet18-v2-7	17735551814660024	17735557364387244	2529501
665	mnist-8	17735606420892972	17735612437656690	2742371
65	resnet18-v2-7	17735553369737828	17735559504047630	2795947
254	mnist-8	17735574817832650	17735581176902892	2898391
261	resnet34-v2-7	17735574956381314	17735581343861264	2911339
40	mobilenetv2-7	17735550772083924	17735557331683868	2989790
36	resnet34-v2-7	17735550706093930	17735557331877424	3019956
28	mobilenetv2-7	17735550169153038	17735556891292852	3063874
25	resnet50-v2-7	17735550159045576	17735556891374774	3068518
704	mnist-8	17735610314664788	17735617310654258	3188691
29	googlenet-9	17735550271936842	17735557327263564	3215736
56	squeezenet1.1-7	17735552177699940	17735559511029682	3342447
256	squeezenet1.1-7	17735574856757018	17735582325736528	3404275
31	mobilenetv2-7	17735550428789512	17735558185063814	3535220
191	googlenet-9	17735567394504590	17735575571963662	3727191
104	resnet18-v2-7	17735558220191630	17735566419526392	3737162
44	mobilenetv2-7	17735551357074798	17735559573013420	3744730
213	googlenet-9	17735572841031990	17735581440516120	3919546
39	mobilenetv2-7	17735550769025622	17735559515426794	3986509
380	resnet34-v2-7	17735585539248938	17735594386699162	4032566
33	googlenet-9	17735550657747396	17735559523309234	4040821
183	googlenet-9	17735566132876990	17735575012079290	4047038
63	squeezenet1.1-7	17735553117483866	17735562218222786	4148012
185	mobilenetv2-7	17735566202373004	17735575498286430	4236970
219	googlenet-9	17735573028681674	17735582325689852	4237469
59	resnet34-v2-7	17735552969074540	17735562303133428	4254356
309	resnet18-v2-7	17735578521779838	17735588074679308	4354101
131	squeezenet1.1-7	17735560225103722	17735569841198508	4382905
270	squeezenet1.1-7	17735575365280526	17735585105505580	4439482
176	resnet34-v2-7	17735565702756268	17735575522452972	4475704
120	squeezenet1.1-7	17735558938127252	17735568839299836	4512840
180	googlenet-9	17735566034659558	17735576052966538	4566229
138	mnist-8	17735560482512102	17735570938187640	4765576
48	resnet50-v2-7	17735551397426972	17735561945492028	4807686
148	squeezenet1.1-7	17735561941076144	17735572670597750	4890392
114	resnet18-v2-7	17735558471914848	17735569215916930	4896992
347	mnist-8	17735579743252898	17735590608799156	4952391
105	googlenet-9	17735558243429032	17735569216074002	5001205
115	resnet34-v2-7	17735558486257508	17735569632604586	5080376
112	resnet18-v2-7	17735558457302240	17735569631429324	5093038
