ID	MODEL	SEND	RECEIVE	LATENCY
530	mnist-8	17733023577749712	17733023592248616	6608
25	mnist-8	17732930710518004	17732930727869694	7908
581	mnist-8	17733032150026610	17733032175936538	11809
540	mnist-8	17733025604361904	17733025631138228	12204
525	squeezenet1.1-7	17733022826192690	17733022853172626	12297
528	mobilenetv2-7	17733023158921274	17733023189618748	13991
529	mobilenetv2-7	17733023569430816	17733023600965604	14373
4	mobilenetv2-7	17732928246418734	17732928278044384	14414
31	mobilenetv2-7	17732933517291614	17732933549140920	14516
15	mobilenetv2-7	17732929681189454	17732929713498748	14726
521	mobilenetv2-7	17733021607432048	17733021639788880	14747
580	mnist-8	17733032089035912	17733032123328368	15630
9	mnist-8	17732928566703388	17732928605104820	17502
1	squeezenet1.1-7	17732927941390794	17732927987995754	21242
12	squeezenet1.1-7	17732929021483756	17732929072648842	23320
64	mnist-8	17732935509984396	17732935563062570	24192
0	mobilenetv2-7	17732927939206166	17732927993663856	24821
538	squeezenet1.1-7	17733025205716988	17733025263983208	26557
537	resnet18-v2-7	17733025134939200	17733025200508014	29885
58	mnist-8	17732935305863134	17732935371620750	29971
535	mnist-8	17733024432220198	17733024499751534	30780
583	squeezenet1.1-7	17733032290621088	17733032358222392	30811
536	resnet18-v2-7	17733024504576888	17733024574086696	31681
36	resnet18-v2-7	17732933926087600	17732934007288134	37010
531	mobilenetv2-7	17733023612934400	17733023697730424	38649
582	squeezenet1.1-7	17733032270097984	17733032357289226	39740
3	mobilenetv2-7	17732928007099542	17732928100076650	42377
550	mnist-8	17733026523306722	17733026624295748	46029
586	densenet-9	17733033477583364	17733033580392424	46859
460	resnet18-v2-7	17733009549975354	17733009660815016	50519
2	densenet-9	17732927964943792	17732928077416150	51263
977	mnist-8	17733100683179212	17733100799464440	53001
519	resnet34-v2-7	17733020730259132	17733020849845326	54506
534	resnet34-v2-7	17733024391729478	17733024513238760	55382
585	resnet50-v2-7	17733033032186160	17733033154150308	55589
34	squeezenet1.1-7	17732933731549168	17732933854559968	56066
533	resnet50-v2-7	17733024223239890	17733024346495892	56178
578	mnist-8	17733031936353924	17733032060043906	56376
970	mnist-8	17733100037495844	17733100166073872	58604
60	mnist-8	17732935356530276	17732935485511870	58788
524	resnet18-v2-7	17733022031199844	17733022167518126	62132
539	resnet50-v2-7	17733025207400786	17733025345123388	62772
482	squeezenet1.1-7	17733011472992246	17733011614390530	64447
6	resnet34-v2-7	17732928321210778	17732928462615338	64450
8	resnet34-v2-7	17732928495269830	17732928643043792	67353
496	mnist-8	17733016471175844	17733016624782010	70011
504	mnist-8	17733016900618910	17733017061332592	73251
11	resnet50-v2-7	17732928939815104	17732929102272172	74046
968	mnist-8	17733099927065792	17733100096393830	77177
584	resnet50-v2-7	17733032346932064	17733032516472956	77274
935	mnist-8	17733094098605136	17733094269259748	77782
33	resnet18-v2-7	17732933727187502	17732933898129832	77913
518	inception_v3	17733020542500888	17733020719410262	80633
532	inception_v3	17733023998300936	17733024175347454	80695
32	resnet34-v2-7	17732933664553756	17732933850736826	84860
520	densenet-9	17733020861782890	17733021057003106	88979
503	mnist-8	17733016807388176	17733017008492228	91660
5	densenet-9	17732928314286372	17732928518303398	92988
523	resnet34-v2-7	17733021838927588	17733022043537970	93259
40	squeezenet1.1-7	17732934135382164	17732934341346144	93876
14	inception_v3	17732929061406750	17732929278565020	98978
993	mnist-8	17733101949252536	17733102167616932	99527
916	mnist-8	17733091322937672	17733091543437654	100501
527	resnet34-v2-7	17733022888364380	17733023132036898	111063
548	squeezenet1.1-7	17733026450929002	17733026704275574	115472
579	mobilenetv2-7	17733031963608984	17733032218318116	116093
39	resnet18-v2-7	17732934077116652	17732934338237490	119015
37	resnet18-v2-7	17732933933316724	17732934205809662	124199
517	resnet50-v2-7	17733019735249132	17733020011091068	125725
549	squeezenet1.1-7	17733026471174318	17733026748331186	126324
526	inception_v3	17733022858135288	17733023144192016	130381
7	densenet-9	17732928412551136	17732928699957806	130996
606	mnist-8	17733036281073232	17733036591004858	141263
976	mnist-8	17733100652286890	17733100964466712	142287
958	mnist-8	17733097690665290	17733098027660586	153598
522	inception_v3	17733021833919668	17733022181416290	158384
547	squeezenet1.1-7	17733026393449394	17733026743715694	159647
22	squeezenet1.1-7	17732930489456050	17732930845359214	162216
13	resnet50-v2-7	17732929051734090	17732929412835350	164585
688	mnist-8	17733047531595600	17733047903787392	169640
545	mnist-8	17733026225938078	17733026625630012	182174
10	densenet-9	17732928884369366	17732929288850110	184357
601	resnet18-v2-7	17733035769180846	17733036190949946	192237
217	mnist-8	17732961377597426	17732961806591378	195530
446	mnist-8	17732999794140068	17733000235532762	201181
35	inception_v3	17732933834347452	17732934294081408	209541
93	resnet18-v2-7	17732941493576904	17732942000213378	230919
687	mnist-8	17733047480175828	17733048005124882	239265
498	squeezenet1.1-7	17733016531175316	17733017064206232	242949
897	mnist-8	17733085412246530	17733085948009444	244194
21	resnet18-v2-7	17732930461703604	17732930997656098	244280
502	resnet18-v2-7	17733016788461122	17733017327098504	245504
50	mnist-8	17732934855071862	17732935394577076	245900
20	resnet34-v2-7	17732930420109454	17732931014978740	271134
654	mnist-8	17733042796627136	17733043415840336	282230
971	squeezenet1.1-7	17733100120659824	17733100793192298	306532
590	resnet34-v2-7	17733034152135872	17733034831642906	309711
29	mnist-8	17732932234919944	17732932921399236	312889
557	mnist-8	17733027268854232	17733027960711666	315340
577	resnet18-v2-7	17733031453715832	17733032158269342	321127
904	mnist-8	17733087078704300	17733087801400296	329396
923	mnist-8	17733092733484748	17733093456812856	329684
23	mobilenetv2-7	17732930503293314	17732931254748072	342504
481	mobilenetv2-7	17733011321914930	17733012073839060	342718
558	squeezenet1.1-7	17733027310216658	17733028067916904	345351
54	mobilenetv2-7	17732935133397294	17732935892808312	346130
942	mnist-8	17733094855525384	17733095620621278	348721
51	resnet18-v2-7	17732935084577192	17732935855659140	351450
514	squeezenet1.1-7	17733018506710832	17733019293095192	358424
280	mnist-8	17732972462959600	17732973251552592	359431
598	mnist-8	17733035084269034	17733035892442590	368356
985	mnist-8	17733101180769300	17733102002841756	374691
17	mnist-8	17732929903116560	17732930727082038	375554
338	mnist-8	17732983376001866	17732984200123690	375625
30	resnet34-v2-7	17732932328029116	17732933202801084	398711
515	mobilenetv2-7	17733018677744078	17733019559827184	402043
653	mnist-8	17733042736754770	17733043627419132	405954
627	mnist-8	17733038357553108	17733039282885502	421755
516	resnet34-v2-7	17733018701824760	17733019631550610	423758
28	resnet18-v2-7	17732932213352842	17732933161858046	432317
983	mnist-8	17733101082708290	17733102050126956	440938
16	googlenet-9	17732929743577576	17732930725694990	447637
587	googlenet-9	17733033562703820	17733034548624102	449371
542	mobilenetv2-7	17733025635620568	17733026621762414	449472
27	squeezenet1.1-7	17732932159513056	17732933167606852	459477
964	squeezenet1.1-7	17733098996304852	17733100023253048	468071
541	googlenet-9	17733025629470220	17733026669615804	474086
556	squeezenet1.1-7	17733026945707098	17733027997752938	479510
489	squeezenet1.1-7	17733015432064312	17733016485879806	480316
629	mnist-8	17733039292023500	17733040375994220	494061
494	mobilenetv2-7	17733016245774350	17733017345111498	501065
492	mobilenetv2-7	17733016091595168	17733017191975788	501540
597	resnet18-v2-7	17733035066352266	17733036185422136	510059
952	mnist-8	17733096196820596	17733097330316254	516634
477	mnist-8	17733010489181256	17733011623841132	517164
932	resnet18-v2-7	17733093184943606	17733094333689930	523585
647	mnist-8	17733042311658542	17733043462958326	524749
671	mnist-8	17733044567155884	17733045729947782	529987
493	mobilenetv2-7	17733016146020110	17733017375528558	560395
553	squeezenet1.1-7	17733026751209652	17733027980755044	560412
508	mnist-8	17733017453505314	17733018694898276	565812
657	resnet18-v2-7	17733043327158200	17733044571227784	567032
472	mnist-8	17733010360105278	17733011610509444	569919
88	mnist-8	17732938904496264	17732940171419884	577449
929	resnet18-v2-7	17733093111369614	17733094392249272	583810
86	mnist-8	17732938795146570	17732940108775612	598737
569	squeezenet1.1-7	17733029265457752	17733030583579054	600784
559	mobilenetv2-7	17733027818399392	17733029154087748	608791
552	resnet50-v2-7	17733026708498580	17733028058017232	615095
41	googlenet-9	17732934138209672	17732935490769526	616481
568	squeezenet1.1-7	17733029234282066	17733030616417914	629961
675	mnist-8	17733046669300124	17733048063790982	635592
444	mnist-8	17732999703587672	17733001189163012	677108
652	squeezenet1.1-7	17733042729993276	17733044221393460	679763
945	mnist-8	17733095776558502	17733097298895696	693863
673	mnist-8	17733046488127602	17733048012799148	694927
921	resnet18-v2-7	17733092566262510	17733094113195040	705074
546	googlenet-9	17733026345631178	17733027945271436	729097
491	mobilenetv2-7	17733015545641910	17733017151357964	731866
981	resnet18-v2-7	17733101002221176	17733102610103222	732854
38	inception_v3	17732933944877476	17732935599760438	754276
591	mobilenetv2-7	17733034158163572	17733035841922266	767437
513	densenet-9	17733018393685504	17733020077545766	767484
910	squeezenet1.1-7	17733089983144010	17733091676098156	771629
920	resnet18-v2-7	17733092554402082	17733094251349666	773449
509	resnet18-v2-7	17733017468262360	17733019174751464	777798
575	squeezenet1.1-7	17733030163302916	17733031874355016	779877
738	mnist-8	17733056736729500	17733058457168228	784156
469	squeezenet1.1-7	17733010232586228	17733011965385686	789790
26	resnet50-v2-7	17732931472094184	17732933216004418	794854
760	mnist-8	17733059475458672	17733061250101392	808861
911	resnet18-v2-7	17733090120385042	17733091895822968	809224
82	mnist-8	17732938406118624	17732940191723694	813858
978	squeezenet1.1-7	17733100691207188	17733102510256286	829101
463	mnist-8	17733009757003328	17733011583722772	832597
340	mnist-8	17732984291316096	17732986141506450	843295
592	googlenet-9	17733034172384696	17733036033040002	848065
507	resnet18-v2-7	17733017432253398	17733019297415146	850119
408	mnist-8	17732995123699020	17732996999263964	854860
593	mobilenetv2-7	17733034252692612	17733036142509412	861356
512	mobilenetv2-7	17733017638965790	17733019537246660	865214
998	mobilenetv2-7	17733103557571160	17733105468178450	870832
19	mobilenetv2-7	17732930033463058	17732931949131576	873139
403	mnist-8	17732994603995218	17732996531338142	878460
468	squeezenet1.1-7	17733010148008410	17733012101385024	890326
574	resnet18-v2-7	17733030103991772	17733032057477188	890376
959	squeezenet1.1-7	17733097715791746	17733099675008778	892988
567	resnet34-v2-7	17733029039664824	17733031006425084	896426
960	squeezenet1.1-7	17733098172081622	17733100151314090	902111
462	googlenet-9	17733009581181762	17733011576803728	909581
461	googlenet-9	17733009567596754	17733011577132742	915923
980	squeezenet1.1-7	17733100831427326	17733102853490484	921633
898	mobilenetv2-7	17733085520970348	17733087632070584	962215
599	squeezenet1.1-7	17733035220989588	17733037333391738	962808
679	squeezenet1.1-7	17733047051790748	17733049188220094	973759
917	resnet18-v2-7	17733091375974008	17733093512970768	974018
510	resnet34-v2-7	17733017490035178	17733019632407104	976468
52	mobilenetv2-7	17732935087382232	17732937244982200	983409
962	mobilenetv2-7	17733098780520736	17733100941172020	984800
589	resnet50-v2-7	17733034089144714	17733036303486408	1009271
576	densenet-9	17733030171799786	17733032387181530	1009745
573	resnet50-v2-7	17733029956581588	17733032173279196	1010345
347	mnist-8	17732984987394014	17732987226012060	1020336
24	googlenet-9	17732930645422250	17732932920282240	1036855
571	resnet18-v2-7	17733029740998960	17733032019865168	1038681
554	mobilenetv2-7	17733026774870888	17733029075272724	1048496
570	resnet18-v2-7	17733029604526948	17733031908181246	1049979
645	resnet18-v2-7	17733041906148656	17733044220414130	1054815
997	resnet50-v2-7	17733103552998542	17733105870691986	1056378
974	mobilenetv2-7	17733100572825326	17733102910493210	1065482
909	resnet18-v2-7	17733089287916150	17733091635624548	1070058
453	squeezenet1.1-7	17733002513092558	17733004863728414	1071392
999	densenet-9	17733103726409000	17733106079833938	1072664
892	squeezenet1.1-7	17733084393808252	17733086752954268	1075271
572	resnet34-v2-7	17733029747348726	17733032123497028	1083021
895	mobilenetv2-7	17733084914776486	17733087309432120	1091456
914	resnet18-v2-7	17733091210376384	17733093616158398	1096527
595	resnet34-v2-7	17733035025752568	17733037440331372	1100537
660	resnet18-v2-7	17733043560200128	17733045997595626	1110936
506	resnet34-v2-7	17733017066528098	17733019518303350	1117490
497	googlenet-9	17733016511732322	17733018974926124	1122695
209	mnist-8	17732959096327492	17732961568288720	1126691
596	googlenet-9	17733035061542930	17733037556091278	1136986
511	densenet-9	17733017533568806	17733020046108088	1145186
551	googlenet-9	17733026652670162	17733029177006832	1150563
594	mobilenetv2-7	17733034989650618	17733037514399422	1150751
252	mnist-8	17732966694405872	17732969226436790	1154070
505	resnet50-v2-7	17733016932490268	17733019483170642	1162570
296	mnist-8	17732975144843468	17732977705909618	1167304
953	resnet18-v2-7	17733096609218664	17733099174753354	1169341
400	mnist-8	17732994344855260	17732996914353954	1171147
611	squeezenet1.1-7	17733036549425620	17733039137386038	1179562
678	mnist-8	17733047036771244	17733049653183356	1192530
335	resnet18-v2-7	17732983332885216	17732985983237970	1208000
896	squeezenet1.1-7	17733084921861172	17733087572214682	1208000
776	mnist-8	17733062420799448	17733065112578908	1226882
996	mobilenetv2-7	17733102999867688	17733105707717858	1234207
419	squeezenet1.1-7	17732996305578478	17732999017489342	1236057
75	mnist-8	17732937381260216	17732940109978022	1243718
203	mnist-8	17732958843398954	17732961577892154	1246350
458	googlenet-9	17733004977560194	17733007765849976	1270870
414	resnet18-v2-7	17732995881315268	17732998678835430	1275077
915	mobilenetv2-7	17733091283749250	17733094081744960	1275294
640	squeezenet1.1-7	17733040677915830	17733043488352734	1280964
886	squeezenet1.1-7	17733083922088642	17733086753130402	1290356
370	resnet18-v2-7	17732986497686284	17732989350853832	1300440
899	resnet34-v2-7	17733085526175576	17733088394227520	1307225
621	resnet18-v2-7	17733037807487968	17733040679350504	1308961
499	resnet50-v2-7	17733016540454352	17733019416610398	1310918
18	googlenet-9	17732929989814710	17732932913082258	1332391
677	squeezenet1.1-7	17733046728651270	17733049653315516	1333028
501	inception_v3	17733016708699542	17733019650364958	1340777
411	resnet18-v2-7	17732995736564240	17732998678957324	1341108
500	inception_v3	17733016682724580	17733019645303234	1350309
459	inception_v3	17733005040394242	17733008045204158	1369557
290	mnist-8	17732974403496654	17732977418606056	1374252
293	mnist-8	17732974745255678	17732977802783544	1393586
211	squeezenet1.1-7	17732960716046896	17732963779016106	1396066
967	googlenet-9	17733099788960680	17733102854722556	1397339
954	squeezenet1.1-7	17733096671031692	17733099738201454	1397980
68	mnist-8	17732937036504938	17732940108693240	1400268
213	squeezenet1.1-7	17732961234898716	17732964336073682	1413479
457	inception_v3	17733004910263040	17733008033210090	1423403
195	resnet18-v2-7	17732957992963042	17732961146742342	1437456
369	mnist-8	17732986465703994	17732989619951206	1437669
495	inception_v3	17733016364727460	17733019520520074	1438374
628	resnet18-v2-7	17733038566878228	17733041735608218	1444270
563	googlenet-9	17733028853415590	17733032027611130	1446761
799	mnist-8	17733069322543868	17733072502052218	1449183
565	resnet50-v2-7	17733028932753310	17733032163362198	1472474
117	mnist-8	17732944707966930	17732947944414410	1475135
902	resnet18-v2-7	17733087013345312	17733090289917480	1493423
543	inception_v3	17733025868404848	17733029146335494	1494043
616	resnet34-v2-7	17733037306053704	17733040596910812	1499934
194	mobilenetv2-7	17732957949947698	17732961266680894	1511728
626	resnet18-v2-7	17733038348790514	17733041670697600	1514087
330	mnist-8	17732980387441158	17732983729316894	1523188
994	resnet50-v2-7	17733102192971154	17733105536249816	1523828
995	inception_v3	17733102449031778	17733105796507038	1525740
196	squeezenet1.1-7	17732958026705954	17732961415615688	1544626
358	squeezenet1.1-7	17732985733574708	17732989124689012	1545630
289	squeezenet1.1-7	17732974391049292	17732977784157924	1546539
564	densenet-9	17733028870816230	17733032266586916	1547753
894	mobilenetv2-7	17733084568087572	17733087964095960	1547861
949	resnet18-v2-7	17733095967474600	17733099365664444	1548855
360	resnet18-v2-7	17732985764985914	17732989163437210	1548975
561	resnet50-v2-7	17733028628133712	17733032039133374	1554694
456	densenet-9	17733004771783250	17733008190765412	1558332
972	resnet34-v2-7	17733100185247618	17733103613897810	1562739
326	mnist-8	17732980122618068	17732983561697086	1567492
425	mnist-8	17732997109502942	17733000550193952	1568227
881	resnet18-v2-7	17733083296015146	17733086752760840	1575544
638	squeezenet1.1-7	17733040546149880	17733044005580424	1576768
102	mnist-8	17732943560801470	17732947049623468	1590164
566	densenet-9	17733028995096024	17733032495727074	1595547
555	mobilenetv2-7	17733026842271128	17733030378478620	1611762
488	resnet50-v2-7	17733015407649580	17733018973132594	1625106
407	mobilenetv2-7	17732995109317124	17732998679194370	1627109
956	resnet50-v2-7	17733097352030408	17733100926870308	1629370
946	squeezenet1.1-7	17733095843765796	17733099441192196	1639665
362	resnet18-v2-7	17732985820132820	17732989422999390	1642145
