ID	MODEL	SEND	RECEIVE	LATENCY
4	mnist-8	17735748558826984	17735748564606222	2634
5	squeezenet1.1-7	17735748564409680	17735748609615678	20604
3	squeezenet1.1-7	17735748558562240	17735748604329598	20860
0	mobilenetv2-7	17735747706670594	17735747763579742	25938
1	mobilenetv2-7	17735747708899328	17735747766958470	26462
2	densenet-9	17735748178457134	17735748296770464	53925
26	mobilenetv2-7	17735757202600792	17735757374357128	78284
25	mnist-8	17735749493086982	17735749721219590	103980
28	squeezenet1.1-7	17735757217347444	17735757553298550	153122
18	mnist-8	17735749318942010	17735749752945544	197813
14	squeezenet1.1-7	17735749270273134	17735750018362422	340970
97	mnist-8	17735760695036204	17735761448101736	343238
101	mnist-8	17735760952796204	17735761813333126	392222
23	resnet18-v2-7	17735749479274524	17735750413865718	425975
24	resnet18-v2-7	17735749487867752	17735750456300930	441400
19	squeezenet1.1-7	17735749418581972	17735750408547938	451215
20	resnet18-v2-7	17735749425945714	17735750433310044	459145
12	squeezenet1.1-7	17735749219492966	17735750240522212	465373
17	squeezenet1.1-7	17735749306631136	17735750356927714	478713
7	googlenet-9	17735748593722858	17735749994724712	638560
9	resnet18-v2-7	17735748727637942	17735750279002236	707094
61	mnist-8	17735758418742218	17735760112434484	771965
56	mnist-8	17735758376677402	17735760112470388	791154
22	mobilenetv2-7	17735749475533954	17735751444909750	897618
21	mobilenetv2-7	17735749472503664	17735751495225158	921933
15	mobilenetv2-7	17735749302056746	17735751585755316	1040883
13	googlenet-9	17735749255222928	17735751542283194	1042415
16	inception_v3	17735749304949308	17735751623933702	1056966
41	mnist-8	17735757654631740	17735760019770162	1078002
186	mnist-8	17735769436586274	17735772071722016	1201064
27	resnet34-v2-7	17735757210571236	17735759883940222	1218490
11	resnet50-v2-7	17735748752495212	17735751458124796	1233194
10	resnet50-v2-7	17735748750476336	17735751496465468	1251590
8	resnet34-v2-7	17735748723598268	17735751482604928	1257523
62	squeezenet1.1-7	17735758469399904	17735761319865742	1299209
57	resnet18-v2-7	17735758380990920	17735761400866326	1376424
6	densenet-9	17735748572268380	17735751616671494	1387603
54	squeezenet1.1-7	17735758138944372	17735761291245436	1436782
37	squeezenet1.1-7	17735757556435482	17735760795826384	1476477
51	squeezenet1.1-7	17735758049066598	17735761325681002	1493443
31	resnet34-v2-7	17735757237756970	17735760653733074	1556962
194	mnist-8	17735770759670624	17735774190257074	1563621
425	resnet18-v2-7	17735795265885892	17735799012775656	1707789
29	googlenet-9	17735757219612666	17735760972986338	1710744
52	mobilenetv2-7	17735758054688550	17735761813291546	1713128
34	resnet34-v2-7	17735757504175980	17735761406917476	1778824
69	resnet18-v2-7	17735759695842240	17735764472638856	2177209
275	squeezenet1.1-7	17735777164969366	17735782408607290	2389989
465	squeezenet1.1-7	17735800415741552	17735806062759848	2573846
417	resnet18-v2-7	17735794715062544	17735801369925962	3033210
36	resnet34-v2-7	17735757554800322	17735764473915050	3153653
32	googlenet-9	17735757288748978	17735764472468500	3274256
308	squeezenet1.1-7	17735786106482790	17735794297332644	3733295
105	mnist-8	17735762008487290	17735770244263978	3753772
726	squeezenet1.1-7	17735817158094836	17735825397371824	3755367
289	squeezenet1.1-7	17735778563109884	17735786958463824	3826505
157	mnist-8	17735764120550952	17735772559575566	3846410
352	googlenet-9	17735788000170184	17735796447289500	3850099
72	resnet34-v2-7	17735760004284708	17735768656483222	3943572
172	resnet18-v2-7	17735766546613632	17735775362071680	4017984
58	resnet34-v2-7	17735758394561524	17735767318423840	4067393
65	resnet34-v2-7	17735759550828798	17735768656297266	4150167
129	squeezenet1.1-7	17735762596964596	17735771806341770	4197528
376	mnist-8	17735790062270624	17735799276116258	4199565
119	resnet18-v2-7	17735762427959732	17735771853805178	4296192
164	mobilenetv2-7	17735764509515350	17735774024640584	4336884
291	resnet18-v2-7	17735778582928704	17735788122254770	4347915
40	resnet34-v2-7	17735757651708026	17735767337384476	4414620
285	resnet18-v2-7	17735778312676684	17735788320877460	4561622
197	googlenet-9	17735770780977438	17735780790507158	4562228
362	squeezenet1.1-7	17735788579404482	17735799012598480	4755329
50	googlenet-9	17735758045597626	17735768643878812	4830574
191	googlenet-9	17735769859224760	17735780457723070	4830673
235	mnist-8	17735774661848844	17735785311389770	4853938
46	googlenet-9	17735757914997804	17735768768728914	4947005
42	mobilenetv2-7	17735757742038890	17735768922680812	5096008
284	inception_v3	17735778310838742	17735789553492938	5124272
96	squeezenet1.1-7	17735760678613412	17735771973202332	5147943
199	mnist-8	17735770929720244	17735782350538292	5205477
81	mobilenetv2-7	17735760292105616	17735771836995022	5262027
187	googlenet-9	17735769473820158	17735781075304486	5287823
280	resnet18-v2-7	17735778227234292	17735790000141034	5365955
79	mnist-8	17735760231062888	17735772052555698	5388100
103	mobilenetv2-7	17735761968708524	17735774051027472	5506982
409	resnet34-v2-7	17735793797113712	17735805942606902	5535776
296	resnet18-v2-7	17735783412215808	17735795682147182	5592493
48	resnet34-v2-7	17735757918556544	17735770286498560	5637165
66	resnet50-v2-7	17735759560652798	17735772052735762	5693747
131	resnet18-v2-7	17735762723358332	17735775362340056	5760702
221	squeezenet1.1-7	17735773124152480	17735785819534140	5786409
259	mobilenetv2-7	17735776645320324	17735789553400724	5883354
229	mobilenetv2-7	17735773895335660	17735786881788482	5919076
297	inception_v3	17735783469541608	17735796468493224	5924772
400	mnist-8	17735792485333194	17735805603163744	5978956
95	resnet50-v2-7	17735760656038446	17735773953178794	6060683
84	inception_v3	17735760391670738	17735774051139928	6225829
75	mobilenetv2-7	17735760212314206	17735773899055186	6238259
74	squeezenet1.1-7	17735760210704508	17735774023458990	6295694
729	mobilenetv2-7	17735817449524796	17735831455405144	6383719
439	mobilenetv2-7	17735799103236662	17735813226919560	6437412
332	resnet50-v2-7	17735787474455798	17735801768407212	6515018
165	mnist-8	17735764532048770	17735778954036920	6573376
508	resnet18-v2-7	17735803640107924	17735818125778154	6602402
323	resnet18-v2-7	17735787076928474	17735801641445876	6638339
211	resnet34-v2-7	17735772761785608	17735787400183322	6672013
188	resnet34-v2-7	17735769529796146	17735784172538256	6673993
88	mobilenetv2-7	17735760428235590	17735775361995164	6806636
130	mobilenetv2-7	17735762695665432	17735777648607602	6815379
146	mobilenetv2-7	17735763946765726	17735778954322714	6840272
35	resnet50-v2-7	17735757508704684	17735772559305836	6859891
77	inception_v3	17735760226828988	17735775362200930	6898528
205	googlenet-9	17735772347932840	17735787675228378	6986005
59	googlenet-9	17735758399072416	17735773861938120	7047796
142	googlenet-9	17735763556524992	17735779264547706	7159536
683	googlenet-9	17735813831248022	17735829562700244	7170215
387	mobilenetv2-7	17735790383734848	17735806144722294	7183677
384	squeezenet1.1-7	17735790370538236	17735806229926626	7228527
170	mnist-8	17735766510792764	17735782408820528	7246138
45	inception_v3	17735757756269818	17735773856962772	7338510
154	squeezenet1.1-7	17735764110852852	17735780243542630	7353094
415	googlenet-9	17735794659424932	17735810821885734	7366663
153	mobilenetv2-7	17735764078233036	17735780269840582	7379948
148	mnist-8	17735763976527854	17735780302103634	7441009
39	mobilenetv2-7	17735757561563570	17735773953138976	7471091
102	resnet34-v2-7	17735761188338186	17735777704891608	7528055
118	resnet34-v2-7	17735762425730436	17735778954283040	7533524
195	resnet34-v2-7	17735770762686092	17735787400283304	7583225
245	googlenet-9	17735776160534778	17735792822131616	7594164
93	googlenet-9	17735760580351846	17735777648487458	7779460
283	resnet34-v2-7	17735778309247284	17735795518471442	7843766
281	resnet50-v2-7	17735778228697954	17735795483502072	7864541
175	resnet50-v2-7	17735766978172210	17735784286711300	7889033
200	inception_v3	17735771960749440	17735789552814886	8018261
671	mnist-8	17735813246600086	17735831102534938	8138530
406	mnist-8	17735793219907722	17735811140556906	8168026
116	resnet50-v2-7	17735762261233878	17735780243377782	8196054
67	googlenet-9	17735759627725346	17735777648841946	8213817
151	mnist-8	17735764041752194	17735782133193966	8245871
344	inception_v3	17735787962280296	17735806144804512	8287385
150	squeezenet1.1-7	17735764009419218	17735782242039480	8310218
147	googlenet-9	17735763953019816	17735782408803080	8411934
226	mobilenetv2-7	17735773208732656	17735791705175704	8430466
144	googlenet-9	17735763616536308	17735782133075882	8439626
78	resnet34-v2-7	17735760229847976	17735778954843358	8534637
330	resnet50-v2-7	17735787381920500	17735806144777130	8551894
177	mobilenetv2-7	17735767023852750	17735785806477600	8560904
85	mobilenetv2-7	17735760393552936	17735779264755240	8601277
138	resnet34-v2-7	17735763243944010	17735782394375720	8728546
162	resnet34-v2-7	17735764285635854	17735783455764950	8737524
730	squeezenet1.1-7	17735817467718334	17735836958399786	8883628
143	resnet18-v2-7	17735763613415208	17735783441569714	9037445
47	inception_v3	17735757916943704	17735777769882648	9048741
76	squeezenet1.1-7	17735760224653506	17735780206750050	9107610
139	mnist-8	17735763295334156	17735783455621162	9188827
91	resnet34-v2-7	17735760510357650	17735780826516964	9259872
286	mnist-8	17735778312817870	17735798762303696	9320640
145	inception_v3	17735763838400910	17735784288028426	9320705
369	squeezenet1.1-7	17735789965163040	17735810821602130	9506125
541	mnist-8	17735804679562058	17735825552759530	9513763
367	inception_v3	17735789733127742	17735810769666106	9588212
252	inception_v3	17735776464297714	17735797908786478	9774151
681	resnet18-v2-7	17735813824162452	17735835576104874	9914285
251	googlenet-9	17735776449284524	17735798314838720	9966068
60	googlenet-9	17735758400665524	17735780301998844	9982376
86	resnet18-v2-7	17735760397187844	17735782409728910	10033063
363	inception_v3	17735788635376756	17735810654755098	10036179
267	mnist-8	17735776966577894	17735799012797788	10048413
430	inception_v3	17735797107842074	17735819204147116	10071242
264	resnet34-v2-7	17735776762055752	17735798957317886	10116345
255	googlenet-9	17735776604211646	17735798957269878	10188267
397	resnet34-v2-7	17735792346432006	17735814844807974	10254501
356	resnet18-v2-7	17735788350711320	17735810960127004	10305111
350	resnet50-v2-7	17735787996481688	17735810821853238	10403542
43	mobilenetv2-7	17735757751934194	17735780690905476	10455319
210	mnist-8	17735772754438858	17735795822545606	10514178
166	resnet34-v2-7	17735766344220988	17735789547609362	10575837
239	mobilenetv2-7	17735775940523502	17735799192853992	10598145
219	densenet-9	17735773113793322	17735796468661578	10644880
414	mobilenetv2-7	17735794461274158	17735817823015846	10648013
198	resnet50-v2-7	17735770926918236	17735794298394664	10652450
230	mobilenetv2-7	17735774484076802	17735797869846632	10658965
169	mnist-8	17735766483158074	17735789877843196	10663028
71	squeezenet1.1-7	17735759918740330	17735783441330728	10721326
249	resnet50-v2-7	17735776318629914	17735799892513060	10744705
30	densenet-9	17735757221863214	17735780832364386	10761395
631	mnist-8	17735811255232268	17735835055869536	10848057
160	googlenet-9	17735764267673062	17735788231952722	10922643
159	densenet-9	17735764173214744	17735788321081404	11006320
73	resnet50-v2-7	17735760207555130	17735784558100136	11098698
183	resnet50-v2-7	17735767308486032	17735791757786232	11143710
346	mobilenetv2-7	17735787972089158	17735812496258688	11177834
270	densenet-9	17735777041512274	17735801642623082	11212903
469	resnet50-v2-7	17735801329486772	17735826012016384	11250013
544	mnist-8	17735804765441886	17735829562761750	11302333
257	resnet50-v2-7	17735776610803352	17735801432704218	11313537
375	resnet50-v2-7	17735790024633538	17735814849054386	11314685
83	inception_v3	17735760389782514	17735785515240226	11451895
136	mnist-8	17735763176865946	17735788561128752	11569855
974	mobilenetv2-7	17735843006328006	17735868413156628	11580140
602	mnist-8	17735810120065306	17735835573878282	11601555
149	mnist-8	17735764006878864	17735789553996656	11644082
180	mobilenetv2-7	17735767272106952	17735792822170006	11645425
240	resnet18-v2-7	17735776017325480	17735801641669824	11679281
68	densenet-9	17735759638960988	17735785394643180	11739144
441	squeezenet1.1-7	17735799166850856	17735824971481956	11761454
222	inception_v3	17735773129566428	17735798957021982	11771857
38	mobilenetv2-7	17735757559968540	17735783441540168	11796523
964	inception_v3	17735842468183048	17735868413658912	11825649
125	resnet18-v2-7	17735762538399644	17735788561109270	11860852
626	mobilenetv2-7	17735810824889418	17735836880979002	11876066
220	densenet-9	17735773115617876	17735799193180634	11885853
328	googlenet-9	17735787119530498	17735813226964756	11899468
94	densenet-9	17735760620860894	17735786732462896	11901368
213	resnet50-v2-7	17735772795799210	17735798957295168	11924109
114	resnet50-v2-7	17735762254519234	17735788560900122	11990146
80	resnet34-v2-7	17735760269460558	17735786881966266	12129674
208	densenet-9	17735772562402632	17735799193132144	12137980
364	googlenet-9	17735788755879492	17735815549455122	12212204
134	densenet-9	17735762743400486	17735789552857960	12219442
184	googlenet-9	17735767311085874	17735794297232650	12299975
599	mnist-8	17735809926839100	17735836991205528	12335627
884	resnet50-v2-7	17735836282565726	17735863455131260	12384943
351	resnet34-v2-7	17735787998292542	17735815202838388	12399519
55	inception_v3	17735758217588680	17735785663535344	12509547
890	mobilenetv2-7	17735838132496788	17735865594978950	12517083
287	mnist-8	17735778313271778	17735806221063802	12720051
241	mnist-8	17735776119135742	17735804096069084	12751564
477	squeezenet1.1-7	17735801565456482	17735829562743886	12760842
33	densenet-9	17735757484235976	17735785521660996	12779136
190	mobilenetv2-7	17735769650437434	17735797993277678	12918341
