ID	MODEL	SEND	RECEIVE	LATENCY
771	mnist-8	17735290596366392	17735290600446492	1859
714	mnist-8	17735278750834920	17735278755804296	2264
768	mnist-8	17735290545050564	17735290552536088	3411
645	mnist-8	17735258858005880	17735258870810706	5836
643	mnist-8	17735258821135956	17735258839534842	8386
730	mnist-8	17735280432462204	17735280459963834	12534
729	mnist-8	17735280432346814	17735280463954038	14406
773	mnist-8	17735290661426382	17735290696108564	15807
42	mnist-8	17735143214929408	17735143253726190	17683
560	mnist-8	17735245611034232	17735245650621964	18043
2	squeezenet1.1-7	17735138897395866	17735138938301058	18644
41	mnist-8	17735143211549256	17735143256065806	20290
767	squeezenet1.1-7	17735290544932824	17735290592598484	21725
782	mnist-8	17735293476483484	17735293546299046	31821
547	squeezenet1.1-7	17735244044174356	17735244118753280	33992
623	mnist-8	17735255635325066	17735255723889184	40366
470	squeezenet1.1-7	17735221077596886	17735221169442012	41861
468	resnet18-v2-7	17735221072997934	17735221168025524	43312
546	mobilenetv2-7	17735244042080692	17735244139158880	44247
549	squeezenet1.1-7	17735244124336228	17735244225605046	46157
641	squeezenet1.1-7	17735258568842428	17735258673445832	47677
10	mnist-8	17735139551617332	17735139659676166	49251
715	densenet-9	17735278752631418	17735278861055340	49418
639	mnist-8	17735258472125732	17735258587940534	52787
11	mnist-8	17735139601314538	17735139721393668	54730
574	mnist-8	17735247049599180	17735247171239970	55442
713	resnet50-v2-7	17735278248548298	17735278374052924	57203
644	mobilenetv2-7	17735258824035698	17735258950311940	57555
637	squeezenet1.1-7	17735258408086928	17735258542623102	61320
781	resnet18-v2-7	17735293452562390	17735293601661578	67957
689	mnist-8	17735266702304400	17735266858444406	71166
509	mnist-8	17735227275249732	17735227436767878	73618
634	squeezenet1.1-7	17735257834423278	17735257998901098	74967
640	resnet18-v2-7	17735258521858576	17735258689100770	76227
626	squeezenet1.1-7	17735255997646032	17735256168575508	77907
654	mnist-8	17735259918939602	17735260104946308	84779
774	resnet18-v2-7	17735290664313144	17735290859988918	89186
642	inception_v3	17735258755585532	17735258962864914	94475
772	resnet18-v2-7	17735290642795296	17735290851457718	95105
465	mnist-8	17735217013488288	17735217244878724	105465
632	resnet50-v2-7	17735257760785418	17735257997158870	107736
627	mobilenetv2-7	17735256008322114	17735256246463254	108541
633	resnet50-v2-7	17735257779258244	17735258026635146	112751
638	mobilenetv2-7	17735258437187990	17735258687934192	114287
558	mnist-8	17735245398588256	17735245657822802	118156
452	mnist-8	17735215935396954	17735216203872714	122368
789	mobilenetv2-7	17735295293214762	17735295580684504	131025
780	resnet18-v2-7	17735293151022108	17735293445959518	134429
635	inception_v3	17735258341717402	17735258636782546	134487
871	mnist-8	17735310382171820	17735310680435088	135944
459	mnist-8	17735216585678764	17735216899120810	142863
1	resnet18-v2-7	17735138893106592	17735139234235444	155482
38	mnist-8	17735142844286286	17735143205360280	164573
624	mobilenetv2-7	17735255920404926	17735256288173614	167624
37	mnist-8	17735142840557528	17735143209191954	168019
636	densenet-9	17735258346884502	17735258720675006	170369
583	mnist-8	17735247424537940	17735247806137706	173928
17	squeezenet1.1-7	17735140017712744	17735140416683596	181846
597	mnist-8	17735249188873916	17735249605620296	189948
20	squeezenet1.1-7	17735140038002670	17735140457419934	191165
469	inception_v3	17735221074085278	17735221505606584	196682
467	inception_v3	17735221062960824	17735221497064952	197859
631	squeezenet1.1-7	17735257064145428	17735257503292442	200158
7	resnet18-v2-7	17735139384049496	17735139839739588	207698
485	resnet34-v2-7	17735223888194018	17735224381441880	224816
770	inception_v3	17735290592012256	17735291097661382	230469
15	mobilenetv2-7	17735139917524462	17735140447933144	241754
660	mnist-8	17735261838132820	17735262378160900	246138
474	mobilenetv2-7	17735222014516254	17735222571761590	253986
564	mnist-8	17735246384034952	17735246943316164	254913
8	resnet18-v2-7	17735139389944578	17735139954918378	257508
473	squeezenet1.1-7	17735221981381984	17735222549618242	258995
64	mnist-8	17735143874084156	17735144449489224	262263
762	mnist-8	17735281805834286	17735282384308678	263661
472	resnet18-v2-7	17735221980267628	17735222564855390	266448
785	squeezenet1.1-7	17735294855922050	17735295440539616	266461
14	resnet18-v2-7	17735139846308286	17735140436200684	268866
775	inception_v3	17735290679950992	17735291278644388	272877
481	mnist-8	17735222967831690	17735223605771978	290765
3	resnet34-v2-7	17735138926586228	17735139583699756	299504
62	mnist-8	17735143803261136	17735144463229016	300805
741	mnist-8	17735280819817750	17735281480330648	301054
551	resnet18-v2-7	17735244169350982	17735244866515140	317759
0	inception_v3	17735138891437298	17735139605679058	325543
6	resnet34-v2-7	17735139252068480	17735139975461604	329714
30	mnist-8	17735140875150618	17735141608829318	334402
