ID	MODEL	SEND	RECEIVE	LATENCY
13	mnist-8	17733511906892500	17733511957324050	22986
23	mnist-8	17733512762805882	17733512823061140	27463
1	resnet18-v2-7	17733510848611596	17733510915217190	30358
11	mnist-8	17733511714336594	17733511946317922	105734
19	resnet18-v2-7	17733512210502704	17733512841489976	287596
7	resnet18-v2-7	17733511444371260	17733512378825150	425913
2	squeezenet1.1-7	17733510970625474	17733511946610598	444842
0	googlenet-9	17733510846883684	17733511955768810	505417
9	resnet50-v2-7	17733511654240982	17733512984964696	606528
8	resnet50-v2-7	17733511506151038	17733512927024770	647617
6	resnet34-v2-7	17733511380117974	17733512843847388	667151
247	mnist-8	17733531532821780	17733533715615132	994892
41	mnist-8	17733513709846420	17733515906234090	1001088
34	mnist-8	17733513406713514	17733515903554320	1138031
39	squeezenet1.1-7	17733513530085484	17733516256855544	1242830
37	squeezenet1.1-7	17733513493928024	17733516256906462	1259333
29	squeezenet1.1-7	17733513330497312	17733516166982716	1292837
14	mobilenetv2-7	17733511976067984	17733515128626686	1436900
25	resnet18-v2-7	17733512855820338	17733516163920356	1507793
176	resnet18-v2-7	17733524527275180	17733527950093744	1560081
20	mobilenetv2-7	17733512223386528	17733515852416300	1654070
42	mobilenetv2-7	17733513962272648	17733517648094674	1679955
18	resnet34-v2-7	17733512197719802	17733515907395106	1690827
165	squeezenet1.1-7	17733523838792464	17733527776791512	1794894
17	mobilenetv2-7	17733512191742864	17733516165080834	1811001
61	mnist-8	17733515299283794	17733519311905666	1828906
718	resnet18-v2-7	17733575483830972	17733579706961214	1924854
33	squeezenet1.1-7	17733513388067954	17733517647347694	1941330
445	mnist-8	17733552597682826	17733556883610934	1953476
141	mnist-8	17733521689454966	17733526156029260	2035813
51	resnet18-v2-7	17733514612979964	17733519301786466	2137104
541	mnist-8	17733560184314960	17733565170690454	2272732
68	squeezenet1.1-7	17733515614727988	17733520676005414	2306872
484	mnist-8	17733556617202956	17733561941897622	2426934
86	squeezenet1.1-7	17733517098793204	17733522687861448	2547433
15	resnet50-v2-7	17733512009243416	17733517649562960	2570792
125	resnet18-v2-7	17733520211840228	17733526127615952	2696342
131	squeezenet1.1-7	17733521350714236	17733527678132788	2883964
4	googlenet-9	17733511134421328	17733517647282860	2968487
169	squeezenet1.1-7	17733524277754996	17733530982582842	3055983
588	resnet34-v2-7	17733564860562274	17733571651033860	3095018
21	resnet50-v2-7	17733512490292842	17733519301857522	3104632
75	resnet18-v2-7	17733515986481128	17733522947763342	3172872
166	resnet18-v2-7	17733523936296436	17733530991476184	3215669
35	resnet18-v2-7	17733513432232730	17733520508212810	3225150
32	mobilenetv2-7	17733513380885654	17733520507620658	3248283
78	resnet18-v2-7	17733516221092874	17733523469516524	3303748
222	resnet18-v2-7	17733529735531974	17733537039974872	3329281
56	resnet50-v2-7	17733515048939460	17733522556849678	3422019
161	squeezenet1.1-7	17733523241464646	17733530982540942	3528293
57	resnet50-v2-7	17733515084292182	17733522851891160	3540382
24	resnet34-v2-7	17733512842833270	17733520675961282	3570249
101	mnist-8	17733517909814420	17733525806937776	3599418
98	resnet34-v2-7	17733517649387200	17733525807238200	3718254
177	squeezenet1.1-7	17733524575202012	17733532758073760	3729658
97	squeezenet1.1-7	17733517588258314	17733525807010448	3746012
45	resnet34-v2-7	17733514166364496	17733522556714512	3824225
93	resnet34-v2-7	17733517529034678	17733526125972198	3918385
147	mobilenetv2-7	17733522384295770	17733531080408816	3963588
12	googlenet-9	17733511788706300	17733520507156004	3973769
46	googlenet-9	17733514209081982	17733522938680124	3978850
50	squeezenet1.1-7	17733514603746630	17733523454635504	4034133
89	squeezenet1.1-7	17733517247295168	17733526125918630	4046774
87	squeezenet1.1-7	17733517102156692	17733526157900952	4127504
178	resnet50-v2-7	17733524590847160	17733533687735978	4146257
43	resnet18-v2-7	17733514098459984	17733523454580102	4264412
173	mobilenetv2-7	17733524362720100	17733533907029184	4350186
136	googlenet-9	17733521451635514	17733531023460064	4362727
73	resnet34-v2-7	17733515937213438	17733525658496890	4430849
102	squeezenet1.1-7	17733517952304796	17733527933308288	4549226
123	resnet50-v2-7	17733519994886076	17733530124285624	4616863
734	mobilenetv2-7	17733576718458400	17733586865775708	4625030
477	mnist-8	17733555803429990	17733565980486990	4638585
70	mobilenetv2-7	17733515619937026	17733525807028110	4643159
69	resnet50-v2-7	17733515616626958	17733525829803954	4655048
268	squeezenet1.1-7	17733533672376456	17733544015445682	4714252
66	resnet18-v2-7	17733515432192462	17733525806990326	4728713
64	resnet18-v2-7	17733515409867022	17733525829985124	4749370
60	squeezenet1.1-7	17733515288386462	17733525806179956	4793889
254	mnist-8	17733533112991684	17733543785284268	4864308
153	googlenet-9	17733522940742272	17733533687499888	4898248
112	squeezenet1.1-7	17733519366619878	17733530123840640	4903017
124	squeezenet1.1-7	17733520192666960	17733530989896026	4921252
600	resnet18-v2-7	17733565449846148	17733576375659904	4979860
84	mobilenetv2-7	17733516941614544	17733528022154384	5050382
148	resnet18-v2-7	17733522489302012	17733533687776638	5104136
48	mobilenetv2-7	17733514581947868	17733525794020940	5110334
181	resnet34-v2-7	17733525943347540	17733537210529044	5135451
127	squeezenet1.1-7	17733521100138966	17733532492355572	5192441
47	inception_v3	17733514410829400	17733525829999408	5204726
163	mnist-8	17733523761883324	17733535189715370	5208674
273	mobilenetv2-7	17733533935808900	17733545407148772	5228504
5	inception_v3	17733511285454216	17733522935089524	5309769
76	resnet34-v2-7	17733515988606188	17733527710332164	5342628
67	mobilenetv2-7	17733515439067260	17733527745626474	5609188
31	mobilenetv2-7	17733513345850838	17733525679226398	5621410
30	inception_v3	17733513339902404	17733525806399622	5682086
28	googlenet-9	17733513315282072	17733525830013160	5704070
171	resnet18-v2-7	17733524332399190	17733537027981406	5786500
132	resnet50-v2-7	17733521355290598	17733534055439616	5788582
36	inception_v3	17733513435175390	17733526156142420	5798070
679	squeezenet1.1-7	17733571983678912	17733584720301946	5805206
699	resnet34-v2-7	17733574110448522	17733586865902552	5813789
55	inception_v3	17733514810296608	17733527711643760	5880285
521	mnist-8	17733559274639154	17733572340315342	5955185
234	mobilenetv2-7	17733530712383400	17733543802514618	5966331
368	inception_v3	17733543846476176	17733557036613342	6011913
231	resnet34-v2-7	17733530316639112	17733543802484384	6146693
44	inception_v3	17733514161999916	17733527678087270	6160477
369	inception_v3	17733543853046936	17733557486055382	6213768
122	resnet34-v2-7	17733519960486676	17733533687755600	6256731
81	resnet50-v2-7	17733516372249454	17733530140349584	6275341
109	inception_v3	17733518611549432	17733532492254582	6326665
505	resnet50-v2-7	17733558382185092	17733572340630984	6362099
226	googlenet-9	17733530060319598	17733544064568242	6382975
154	resnet34-v2-7	17733523020786990	17733537056089926	6397129
611	inception_v3	17733567654587202	17733582038503334	6556023
495	resnet34-v2-7	17733557657434278	17733572148830746	6605012
593	resnet34-v2-7	17733565164983408	17733579706525532	6627867
483	mobilenetv2-7	17733556565208532	17733571162578408	6653313
27	googlenet-9	17733512887905320	17733527534753672	6675865
643	mnist-8	17733570009948000	17733584720226734	6704776
209	mobilenetv2-7	17733529084006336	17733543802004572	6708294
208	resnet50-v2-7	17733529058857776	17733543802165748	6719830
22	mobilenetv2-7	17733512740323604	17733527534642910	6743080
366	mnist-8	17733543483853546	17733558421766996	6808529
419	mnist-8	17733551105808098	17733566203148748	6881194
26	resnet50-v2-7	17733512874225018	17733528116828536	6947403
120	googlenet-9	17733519846182460	17733535168793048	6983869
142	googlenet-9	17733521691547188	17733537040008704	6995652
119	squeezenet1.1-7	17733519759180156	17733535168664346	7023465
85	resnet50-v2-7	17733517046345076	17733532492330172	7040102
223	resnet34-v2-7	17733529951218490	17733545407041740	7044586
52	inception_v3	17733514620757276	17733530124244558	7066311
650	squeezenet1.1-7	17733570690389500	17733586203398290	7070651
117	resnet18-v2-7	17733519631476276	17733535179911344	7086798
108	mnist-8	17733518174753246	17733534052032946	7236681
