ID	MODEL	SEND	RECEIVE	LATENCY
3	mnist-8	17733689649892592	17733689654153092	1941
4	squeezenet1.1-7	17733689720743874	17733689750469158	13548
48	mnist-8	17733694289718150	17733694356373530	30380
53	mnist-8	17733694319046698	17733694416069716	44221
49	mnist-8	17733694300378628	17733694406991136	48592
1	resnet18-v2-7	17733689235763278	17733689405427078	77330
6	resnet18-v2-7	17733689750291982	17733689932284472	82950
31	mnist-8	17733692952152768	17733693134371510	83053
44	mnist-8	17733694207382690	17733694398008472	86885
0	resnet34-v2-7	17733689233562040	17733689428081148	88659
54	mnist-8	17733694458137316	17733694677536804	99999
7	resnet34-v2-7	17733689756412344	17733689986109944	104693
62	mnist-8	17733694660988262	17733694937460768	126012
2	inception_v3	17733689279419282	17733689579123156	136601
58	mnist-8	17733694547922050	17733694848988882	137222
11	resnet18-v2-7	17733689961378766	17733690338093568	171702
8	inception_v3	17733689873392170	17733690276162646	183578
89	mnist-8	17733697087848624	17733697568025386	218859
83	mnist-8	17733695805239994	17733696335514428	241692
19	mnist-8	17733690493196284	17733691349082960	390103
42	squeezenet1.1-7	17733694034143384	17733694891429500	390741
43	resnet18-v2-7	17733694067816550	17733694929718810	392845
46	squeezenet1.1-7	17733694260653874	17733695126805092	394781
36	squeezenet1.1-7	17733693027453044	17733694099822454	488773
38	resnet18-v2-7	17733693319549886	17733694489373628	533192
65	squeezenet1.1-7	17733694735044318	17733695944627238	551314
37	resnet18-v2-7	17733693262500042	17733694603563950	611241
68	squeezenet1.1-7	17733694946510664	17733696312938734	622802
85	mnist-8	17733695865032496	17733697409733864	704057
67	resnet18-v2-7	17733694835504716	17733696409081480	717218
20	resnet34-v2-7	17733690522385158	17733692102159656	720043
16	mobilenetv2-7	17733690268493348	17733691872118480	730913
18	mobilenetv2-7	17733690491354754	17733692099943434	733176
10	googlenet-9	17733689950470326	17733691638849874	769544
40	mobilenetv2-7	17733693402175960	17733695134957934	789782
35	resnet34-v2-7	17733693015518034	17733694758395898	794383
29	resnet50-v2-7	17733692830914882	17733694600400650	806511
12	resnet50-v2-7	17733690008691998	17733692012838922	913467
47	mobilenetv2-7	17733694262524588	17733696312899748	934537
39	mobilenetv2-7	17733693401109640	17733695458790380	937867
79	squeezenet1.1-7	17733695650255116	17733697779585218	970524
240	resnet18-v2-7	17733710505344396	17733712714978174	1007125
34	resnet50-v2-7	17733693007240056	17733695264117776	1028658
5	inception_v3	17733689723604574	17733692091266810	1079153
22	googlenet-9	17733690736446200	17733693399251610	1213676
33	resnet50-v2-7	17733692994703702	17733695784315566	1271473
21	resnet50-v2-7	17733690731918688	17733693541641692	1280639
23	resnet50-v2-7	17733690745206740	17733693605391000	1303639
25	resnet50-v2-7	17733692730899052	17733695629516152	1321156
52	mobilenetv2-7	17733694316293546	17733697435546480	1421719
45	resnet34-v2-7	17733694214451924	17733697435488732	1468111
55	mobilenetv2-7	17733694464659518	17733697719839616	1483673
28	resnet50-v2-7	17733692818441716	17733696147288494	1517250
81	resnet18-v2-7	17733695722086200	17733699364618008	1660224
256	mnist-8	17733712179069586	17733716159288244	1814137
13	inception_v3	17733690179363984	17733694173842344	1820637
14	inception_v3	17733690234575210	17733694473594042	1932096
30	inception_v3	17733692873692318	17733697409354040	2067302
108	mnist-8	17733698187877006	17733703168527938	2270123
9	densenet-9	17733689909624102	17733695145774298	2386577
102	mnist-8	17733697740967318	17733702981925048	2388768
92	squeezenet1.1-7	17733697498498858	17733702815438686	2423400
193	mnist-8	17733707093120388	17733712714645550	2562226
95	resnet18-v2-7	17733697567789702	17733703225770012	2578842
90	squeezenet1.1-7	17733697120540834	17733702980060252	2670701
87	resnet18-v2-7	17733697030773550	17733702980036606	2711605
86	mobilenetv2-7	17733697021416970	17733703108431468	2774391
641	resnet50-v2-7	17733744425412410	17733750880908674	2942341
128	resnet18-v2-7	17733701377911248	17733707922232080	2982826
50	resnet50-v2-7	17733694304935154	17733700881300560	2997431
66	resnet34-v2-7	17733694779016360	17733701567441614	3094086
73	resnet18-v2-7	17733695274386092	17733702246269518	3177704
229	resnet18-v2-7	17733709118952164	17733716159175406	3208852
84	mobilenetv2-7	17733695838740002	17733702979870846	3254845
77	googlenet-9	17733695333738106	17733702820862972	3412545
80	googlenet-9	17733695703520198	17733703225794890	3428566
72	resnet50-v2-7	17733695272365392	17733702815394350	3438025
71	mobilenetv2-7	17733695181418232	17733702803890622	3474235
70	googlenet-9	17733694967718078	17733702820770646	3579331
63	resnet50-v2-7	17733694715498662	17733702952362164	3754267
96	mnist-8	17733697636315036	17733706079452860	3848285
51	inception_v3	17733694313698094	17733702803947664	3869758
64	googlenet-9	17733694718549156	17733703225597236	3877414
146	googlenet-9	17733702220786416	17733711223772462	4103457
142	resnet34-v2-7	17733702165343864	17733711216549004	4125435
307	resnet18-v2-7	17733716990148754	17733726328703394	4256405
243	mobilenetv2-7	17733711398709424	17733720852083198	4308739
132	resnet18-v2-7	17733701534247758	17733711069115040	4345882
32	inception_v3	17733692988110462	17733702648740516	4403204
127	mobilenetv2-7	17733701325851832	17733711080244264	4445940
528	mobilenetv2-7	17733736001039002	17733745797181862	4464969
82	resnet34-v2-7	17733695800834072	17733706051544102	4672155
239	resnet34-v2-7	17733710501882848	17733720853306274	4718059
144	resnet34-v2-7	17733702179518534	17733712574247662	4737798
122	squeezenet1.1-7	17733700835380376	17733711299771376	4769549
147	squeezenet1.1-7	17733702239228192	17733712736279842	4784435
140	googlenet-9	17733701969977836	17733712550873682	4822650
76	googlenet-9	17733695304909420	17733706051658358	4898244
148	googlenet-9	17733702329192548	17733713104832922	4911413
362	mobilenetv2-7	17733720486952768	17733731363769618	4957528
136	resnet18-v2-7	17733701620393602	17733712537084600	4975702
134	googlenet-9	17733701558198790	17733712714946800	5085117
276	mnist-8	17733713533202576	17733724891137730	5176816
126	resnet34-v2-7	17733701309982818	17733712714913968	5198236
131	resnet50-v2-7	17733701532384148	17733713024795158	5238108
60	inception_v3	17733694557258896	17733706079252498	5251592
59	resnet50-v2-7	17733694553579410	17733706079490450	5253377
56	inception_v3	17733694492731276	17733706021991376	5254904
189	squeezenet1.1-7	17733706590068154	17733718133416052	5261325
145	mobilenetv2-7	17733702206627680	17733714073595990	5408827
165	mnist-8	17733704104260824	17733716435057878	5620235
283	mnist-8	17733713791496442	17733726215023740	5662501
255	resnet18-v2-7	17733712175669162	17733724892179192	5796039
704	mobilenetv2-7	17733750022118526	17733763204683776	6008461
473	resnet50-v2-7	17733732551772376	17733745774712390	6026864
200	mnist-8	17733707471963606	17733720848034208	6096659
93	googlenet-9	17733697515260954	17733711208079518	6241029
91	inception_v3	17733697123605612	17733711209595624	6420232
17	densenet-9	17733690451427886	17733704596322288	6447080
88	inception_v3	17733697045785508	17733711209452192	6455636
191	resnet18-v2-7	17733707077652018	17733721512385892	6579185
322	resnet50-v2-7	17733717500452184	17733731974613102	6597156
496	squeezenet1.1-7	17733733951631798	17733748508716914	6634952
151	resnet34-v2-7	17733703464701600	17733718166762472	6701030
238	squeezenet1.1-7	17733710399194310	17733725139801478	6718599
236	googlenet-9	17733710121157082	17733724891096368	6731968
467	mobilenetv2-7	17733730941152694	17733745799239040	6772145
99	resnet50-v2-7	17733697735575488	17733712750435072	6843600
97	mobilenetv2-7	17733697667740386	17733713022583440	6998561
120	mobilenetv2-7	17733700821498994	17733716252653204	7033342
827	squeezenet1.1-7	17733759508448692	17733775038563316	7078447
78	inception_v3	17733695340949702	17733711066306624	7167437
666	squeezenet1.1-7	17733745691298938	17733761530060318	7219125
174	mobilenetv2-7	17733704382612572	17733720369916608	7286829
226	inception_v3	17733709031175108	17733725095578854	7321970
218	inception_v3	17733708535107620	17733725095240954	7547918
310	googlenet-9	17733717065919720	17733733641251766	7554845
119	mnist-8	17733700759804366	17733717806852060	7769848
441	mobilenetv2-7	17733728259942156	17733745774818506	7983079
221	squeezenet1.1-7	17733708639294780	17733726370280374	8081579
113	resnet34-v2-7	17733699706513956	17733717604017264	8157476
104	resnet18-v2-7	17733698051604694	17733716134549466	8241998
141	resnet18-v2-7	17733702153956188	17733720263693998	8254210
114	googlenet-9	17733699721016774	17733718128714228	8390017
345	googlenet-9	17733718503126040	17733737088210494	8470868
561	resnet50-v2-7	17733739976245056	17733758625125010	8499945
149	squeezenet1.1-7	17733702573845226	17733721504478162	8628365
138	googlenet-9	17733701699391100	17733720853187026	8730080
199	squeezenet1.1-7	17733707313345728	17733726473975308	8733194
321	mobilenetv2-7	17733717495486354	17733736704459750	8755229
324	mobilenetv2-7	17733717578816322	17733737088264920	8892182
281	mnist-8	17733713669014662	17733733193527312	8899048
251	inception_v3	17733711744907802	17733731362814466	8941616
244	inception_v3	17733711410803252	17733731362760602	9093872
470	mnist-8	17733732247340668	17733752225602020	9105862
103	googlenet-9	17733697768218348	17733717807020962	9133456
106	inception_v3	17733698079923864	17733718133557208	9140215
98	inception_v3	17733697674511958	17733717853921164	9197542
24	densenet-9	17733690883257478	17733711069031172	9200443
356	mnist-8	17733719852898692	17733740188978028	9268951
111	resnet50-v2-7	17733699568579944	17733720369889676	9480998
110	inception_v3	17733698195663106	17733719311851080	9624515
157	squeezenet1.1-7	17733703746018090	17733725095717176	9730947
241	resnet18-v2-7	17733711162774992	17733732756393670	9842123
15	densenet-9	17733690252328666	17733712408016432	10098308
105	mnist-8	17733698057733118	17733720369683858	10169530
412	densenet-9	17733725913619420	17733748508514916	10298493
457	inception_v3	17733729512098964	17733752372507366	10419511
272	resnet34-v2-7	17733713437648572	17733736419713704	10474961
234	resnet50-v2-7	17733709676470556	17733732757705020	10520161
100	inception_v3	17733697738953886	17733720880654272	10547721
302	inception_v3	17733716663812930	17733739834451776	10560911
135	googlenet-9	17733701569907806	17733724899053518	10633156
270	resnet50-v2-7	17733713425288648	17733736878551638	10689727
267	googlenet-9	17733712971764912	17733736507610084	10727367
465	googlenet-9	17733730490266436	17733754213898946	10812959
264	googlenet-9	17733712716544580	17733736507571114	10843676
259	densenet-9	17733712549761676	17733736521733434	10926149
665	mnist-8	17733745623317994	17733769998586194	11109967
425	squeezenet1.1-7	17733726385377124	17733750916188394	11180862
454	resnet50-v2-7	17733729489415158	17733754215855706	11270027
235	mobilenetv2-7	17733710072408616	17733735022252356	11371852
209	squeezenet1.1-7	17733707878046290	17733733205290120	11543866
196	mnist-8	17733707173523158	17733733329825048	11921741
41	densenet-9	17733694017075704	17733720259827676	11961144
116	densenet-9	17733700062463012	17733726328909924	11971944
237	inception_v3	17733710382041702	17733736696158630	11993672
420	resnet34-v2-7	17733726184770512	17733752858008534	12157355
183	squeezenet1.1-7	17733706309462128	17733733084297260	12203662
368	resnet18-v2-7	17733720950408672	17733748169887616	12406325
277	resnet34-v2-7	17733713546925262	17733740973906002	12500902
316	mobilenetv2-7	17733717204525210	17733744636725258	12503281
188	squeezenet1.1-7	17733706436778794	17733733977094810	12552559
231	mnist-8	17733709308211824	17733736875987280	12565075
497	squeezenet1.1-7	17733733957436062	17733761572558994	12586655
299	googlenet-9	17733716466529426	17733744120224054	12604236
421	inception_v3	17733726253020046	17733754215695710	12745066
341	mnist-8	17733718431286238	17733746898094292	12974844
171	mnist-8	17733704309363246	17733732919917684	13040362
207	squeezenet1.1-7	17733707850160772	17733736507639690	13061749
94	densenet-9	17733697548713184	17733726215195008	13065853
107	mobilenetv2-7	17733698098775056	17733726820000728	13090804
175	mobilenetv2-7	17733704416372388	17733733205068996	13121557
201	googlenet-9	17733707621424604	17733736507284244	13165843
248	resnet18-v2-7	17733711675080804	17733740683123720	13221532
195	mnist-8	17733707172610368	17733736301501186	13276613
339	resnet50-v2-7	17733718248892550	17733747628649046	13390955
325	mobilenetv2-7	17733717603487502	17733747138636612	13461781
137	squeezenet1.1-7	17733701694662232	17733731497077150	13583598
305	resnet50-v2-7	17733716804396484	17733747115065304	13815254
440	mnist-8	17733728245800288	17733758625011026	13846495
326	densenet-9	17733717709593046	17733748169792052	13883408
378	mobilenetv2-7	17733722396547202	17733753163813926	14023366
162	mnist-8	17733703947027026	17733734752917496	14040971
228	densenet-9	17733709113928636	17733739995025816	14075249
352	resnet50-v2-7	17733719153955868	17733750051941454	14082946
74	densenet-9	17733695301104168	17733726216464480	14090866
351	mobilenetv2-7	17733719125895640	17733750050575768	14095114
370	resnet50-v2-7	17733721381931918	17733752372563528	14125173
225	inception_v3	17733709014106740	17733740189855900	14209548
177	resnet50-v2-7	17733705674434750	17733737091586764	14319577
320	resnet34-v2-7	17733717429890194	17733748897408414	14342533
621	mobilenetv2-7	17733743480422432	17733775038530436	14383823
438	mnist-8	17733728202235770	17733760055392246	14518302
124	densenet-9	17733701120818500	17733733205336398	14623754
419	resnet34-v2-7	17733726143114084	17733758620052238	14802615
333	mnist-8	17733718085990754	17733750610387852	14824246
478	mnist-8	17733732756077836	17733765301650582	14833898
154	mobilenetv2-7	17733703729955660	17733736522048440	14946259
446	mnist-8	17733728595969498	17733761393285852	14948640
355	resnet50-v2-7	17733719847448034	17733752658947884	14955104
280	resnet18-v2-7	17733713665459602	17733746925406326	15159501
591	googlenet-9	17733741633180882	17733775038431436	15225729
274	mobilenetv2-7	17733713483731844	17733746925357292	15242308
202	resnet50-v2-7	17733707634661630	17733741293161748	15341157
247	googlenet-9	17733711661602558	17733745634422586	15484421
